Approach,RMSE,MAE,MAPE,MASE
Bottom-up selected dzongkhag models (18 dzongkhags),0.49957852290700255,0.4185289687665071,2.6627685405375527,0.46261937365802913
Direct national (SARIMA),0.49323539800546373,0.4163797832833464,2.697976842495446,0.4602437798131753
