dzongkhag,model,mean_residual,ljung_box_pvalue,residual_autocorrelation_flag
BUMTHANG,Seasonal Naive,0.012471177037037038,0.2665121930960466,False
BUMTHANG,Holt-Winters,0.001318894200129072,0.6451714288326578,False
BUMTHANG,SARIMA,0.0013354671640326786,0.6227010942700621,False
CHUKHA,Seasonal Naive,0.04015756148148148,1.1760344225580073e-06,True
CHUKHA,Holt-Winters,0.011426524722580744,0.19609520009223924,False
CHUKHA,SARIMA,-1.4889920148839868e-05,0.13894825570120178,False
DAGANA,Seasonal Naive,-0.0005311018518518518,2.576736012493936e-19,True
DAGANA,Holt-Winters,-2.443472664707217e-05,0.775900046958119,False
DAGANA,SARIMA,-1.037877529173111e-06,0.10025155445303295,False
HAA,Seasonal Naive,0.004271287037037038,0.0002920281893455624,True
HAA,Holt-Winters,0.0004013430158706589,0.5906769324207317,False
HAA,SARIMA,7.827986378293357e-05,0.003433691712698356,True
LHUENTSE,Seasonal Naive,0.0013089814814814815,0.9839673230431106,False
LHUENTSE,Holt-Winters,0.0031035974594725976,0.0003943762628083301,True
LHUENTSE,SARIMA,-0.00016238720322379145,1.56085033817958e-06,True
MONGAR,Seasonal Naive,0.009217488148148148,5.873088085406266e-09,True
MONGAR,Holt-Winters,0.0024707814897577834,0.34691053835966973,False
MONGAR,SARIMA,0.0016930551516859116,0.430278727964219,False
PARO,Seasonal Naive,0.0016213566666666668,2.7002604021640905e-05,True
PARO,Holt-Winters,0.0005899665240412325,0.2419557131135672,False
PARO,SARIMA,0.000372242263014573,0.000969722030302197,True
PEMAGATSHEL,Seasonal Naive,0.011846342592592592,8.268171724194172e-53,True
PEMAGATSHEL,Holt-Winters,-4.050485849694275e-05,0.09399462811773232,False
PEMAGATSHEL,SARIMA,0.00027270107046839954,0.23410802488823979,False
PUNAKHA,Seasonal Naive,-0.011252290833333333,2.1479455434828643e-10,True
PUNAKHA,Holt-Winters,-0.0006294744860273016,0.6741532742967846,False
PUNAKHA,SARIMA,-0.000654143348609951,0.6040009466852374,False
SAMDRUPJONGKHAR,Seasonal Naive,-0.010009231481481482,1.612317326155542e-27,True
SAMDRUPJONGKHAR,Holt-Winters,-0.0024469329515838336,0.17861872144760202,False
SAMDRUPJONGKHAR,SARIMA,-0.0011654857172632056,0.0021721748425852757,True
SAMTSE,Seasonal Naive,0.007675363888888888,2.3624457616552914e-05,True
SAMTSE,Holt-Winters,4.1229171426240364e-05,0.6375406013789073,False
SAMTSE,SARIMA,0.0002490338191821593,0.3894086099186152,False
THIMPHU,Seasonal Naive,0.5618686820277777,0.00089048495101328,True
THIMPHU,Holt-Winters,0.08022381113626693,0.00036110164846064527,True
THIMPHU,SARIMA,0.0711983512721434,0.08574406988928882,False
TRASHIGANG,Seasonal Naive,-0.011388155833333335,4.139931452338855e-38,True
TRASHIGANG,Holt-Winters,-0.0009752117155924068,0.12943793631125322,False
TRASHIGANG,SARIMA,0.00045317736003880625,0.0005646985109372352,True
TRASHIYANGTSE,Seasonal Naive,0.00206371212962963,2.2245743048262287e-09,True
TRASHIYANGTSE,Holt-Winters,0.0008249793773700078,0.2967779330024243,False
TRASHIYANGTSE,SARIMA,-0.00025011174900425095,3.569218402160431e-05,True
TRONGSA,Seasonal Naive,0.0049420742592592585,0.076633404132463,False
TRONGSA,Holt-Winters,0.00015809862760018893,0.09899072215885087,False
TRONGSA,SARIMA,0.0008820834749820815,0.012036019048532303,True
TSIRANG,Seasonal Naive,0.004583425092592593,0.0061394052424666844,True
TSIRANG,Holt-Winters,0.0011231647100982249,0.026028937406487956,True
TSIRANG,SARIMA,0.0002175154594178626,0.0009082461570124747,True
WANGDUE PHODRANG,Seasonal Naive,-0.0001685092592592579,0.0021716081297819766,True
WANGDUE PHODRANG,Holt-Winters,0.00038405192419404426,0.8643874145362477,False
WANGDUE PHODRANG,SARIMA,0.001758437831453966,0.08193100778665721,False
ZHEMGANG,Seasonal Naive,0.000844627037037037,1.710435451046341e-06,True
ZHEMGANG,Holt-Winters,0.0004002146153347845,0.0011307302190225496,True
ZHEMGANG,SARIMA,0.00019735223918447426,0.0046508689200996005,True
