Month,Dzongkhag,Forecast,lower_80,upper_80,lower_95,upper_95,Selected_Model
2026-01-01,BUMTHANG,0.3708351527844049,0.340501415430948,0.4011688901378618,0.3244437048491764,0.41722660071963336,SARIMA
2026-02-01,BUMTHANG,0.34028065241195116,0.30994691505849425,0.37061438976540806,0.2938892044767226,0.3866721003471797,SARIMA
2026-03-01,BUMTHANG,0.34671057376990594,0.31637683641644904,0.37704431112336284,0.30031912583467746,0.3931020217051344,SARIMA
2026-04-01,BUMTHANG,0.34147363657368546,0.31113989922022856,0.37180737392714236,0.2950821886384569,0.387865084508914,SARIMA
2026-05-01,BUMTHANG,0.33843879040396824,0.30810505305051133,0.36877252775742514,0.29204734246873976,0.3848302383391967,SARIMA
2026-06-01,BUMTHANG,0.30848738883482074,0.27815365148136384,0.33882112618827764,0.2620959408995922,0.3548788367700493,SARIMA
2026-07-01,BUMTHANG,0.28019217991983575,0.24985844256637882,0.31052591727329265,0.23380073198460724,0.32658362785506423,SARIMA
2026-08-01,BUMTHANG,0.2774846676926811,0.24715093033922417,0.307818405046138,0.2310932197574526,0.32387611562790963,SARIMA
2026-09-01,BUMTHANG,0.28131052744874097,0.25097679009528406,0.31164426480219787,0.23491907951351246,0.3277019753839695,SARIMA
2026-10-01,BUMTHANG,0.2996276619529231,0.2692939245994662,0.32996139930638,0.2532362140176946,0.34601910988815165,SARIMA
2026-11-01,BUMTHANG,0.35720493744720294,0.32687120009374604,0.38753867480065984,0.3108134895119744,0.4035963853824315,SARIMA
2026-12-01,BUMTHANG,0.38529533642451774,0.35496159907106084,0.41562907377797464,0.3389038884892892,0.4316867843597463,SARIMA
2026-01-01,CHUKHA,1.57421964,1.4048722837437682,1.7435669962562317,1.3152252085131644,1.8332140714868355,Seasonal Naive
2026-02-01,CHUKHA,1.75415006,1.5848027037437682,1.9234974162562317,1.4951556285131642,2.0131444914868357,Seasonal Naive
2026-03-01,CHUKHA,1.47053892,1.3011915637437683,1.6398862762562318,1.2115444885131645,1.7295333514868356,Seasonal Naive
2026-04-01,CHUKHA,1.71597422,1.5466268637437683,1.8853215762562319,1.4569797885131646,1.9749686514868356,Seasonal Naive
2026-05-01,CHUKHA,1.61825318,1.4489058237437682,1.7876005362562317,1.3592587485131644,1.8772476114868355,Seasonal Naive
2026-06-01,CHUKHA,1.61603234,1.4466849837437683,1.7853796962562318,1.3570379085131643,1.8750267714868358,Seasonal Naive
2026-07-01,CHUKHA,1.82407126,1.6547239037437682,1.9934186162562317,1.5650768285131642,2.0830656914868357,Seasonal Naive
2026-08-01,CHUKHA,1.90265288,1.7333055237437682,2.0720002362562315,1.6436584485131642,2.1616473114868358,Seasonal Naive
2026-09-01,CHUKHA,1.70676084,1.5374134837437683,1.8761081962562318,1.4477664085131643,1.9657552714868358,Seasonal Naive
2026-10-01,CHUKHA,1.96883496,1.7994876037437681,2.1381823162562315,1.7098405285131641,2.2278293914868357,Seasonal Naive
2026-11-01,CHUKHA,1.66045596,1.4911086037437682,1.8298033162562317,1.4014615285131642,1.9194503914868357,Seasonal Naive
