Month,Dzongkhag,Forecast,lower_80,upper_80,lower_95,upper_95,Selected_Model
2026-01-01,NATIONAL_DIRECT_18_DZONGKHAGS,25.733331325625905,23.583478086833725,27.883184564418084,22.445414527452545,29.021248123799264,SARIMA
2026-02-01,NATIONAL_DIRECT_18_DZONGKHAGS,25.306513939055773,23.156660700263593,27.45636717784795,22.018597140882413,28.594430737229132,SARIMA
2026-03-01,NATIONAL_DIRECT_18_DZONGKHAGS,22.510323868498716,20.360470629706537,24.660177107290895,19.222407070325357,25.798240666672076,SARIMA
2026-04-01,NATIONAL_DIRECT_18_DZONGKHAGS,19.818505039190807,17.668651800398628,21.968358277982986,16.530588241017448,23.106421837364167,SARIMA
2026-05-01,NATIONAL_DIRECT_18_DZONGKHAGS,16.552874777740804,14.403021538948625,18.702728016532983,13.264957979567445,19.840791575914164,SARIMA
2026-06-01,NATIONAL_DIRECT_18_DZONGKHAGS,14.513268843051783,12.363415604259604,16.663122081843962,11.225352044878424,17.801185641225143,SARIMA
2026-07-01,NATIONAL_DIRECT_18_DZONGKHAGS,13.306410405813695,11.156557167021516,15.456263644605874,10.018493607640336,16.594327203987056,SARIMA
2026-08-01,NATIONAL_DIRECT_18_DZONGKHAGS,13.51615024251719,11.36629700372501,15.66600348130937,10.22823344434383,16.804067040690548,SARIMA
2026-09-01,NATIONAL_DIRECT_18_DZONGKHAGS,13.512640290582114,11.362787051789935,15.662493529374293,10.224723492408755,16.800557088755475,SARIMA
2026-10-01,NATIONAL_DIRECT_18_DZONGKHAGS,14.228900883948354,12.079047645156175,16.37875412274053,10.940984085774994,17.51681768212171,SARIMA
2026-11-01,NATIONAL_DIRECT_18_DZONGKHAGS,18.033087356558397,15.883234117766218,20.182940595350576,14.745170558385038,21.321004154731757,SARIMA
2026-12-01,NATIONAL_DIRECT_18_DZONGKHAGS,23.3966884733475,21.24683523455532,25.54654171213968,20.10877167517414,26.68460527152086,SARIMA
