Month,Forecast,lower_80,upper_80,lower_95,upper_95
2026-01-01,26.33436544661551,23.82310062730339,28.845630265927632,22.493717333948567,30.17501355928246
2026-02-01,25.81627753920971,23.30501271989759,28.32754235852183,21.975629426542763,29.656925651876655
2026-03-01,22.933820470111247,20.422555650799126,25.445085289423364,19.0931723574443,26.77446858277819
2026-04-01,20.484307794372352,17.973042975060235,22.99557261368447,16.643659681705408,24.324955907039296
2026-05-01,17.217794491132178,14.70652967182006,19.729059310444296,13.377146378465232,21.058442603799122
2026-06-01,15.225069847283583,12.713805027971466,17.736334666595702,11.38442173461664,19.06571795995053
2026-07-01,14.334234371190568,11.835100674941398,16.845499190502686,10.518322228734698,18.174882483857512
2026-08-01,14.512718535592326,12.001453716280208,17.023983354904445,10.672070422925382,18.35336664825927
2026-09-01,14.463463826861862,11.952199007549742,16.97472864617398,10.622815714194916,18.304111939528806
2026-10-01,15.147744826277357,12.636480006965238,17.65900964558947,11.307096713610411,18.9883929389443
2026-11-01,18.77378466605153,16.262519846739412,21.28504948536365,14.933136553384585,22.614432778718474
2026-12-01,23.801557017694833,21.290292198382712,26.31282183700695,19.960908905027885,27.64220513036178
